CATEGORY,GROUP TITLE,TYPE,URL ALIAS,PAGE TITLE,CREATED,LAST UPDATED
"Academic Departments, Schools and Colleges","English, Department of",Catalog Degree,/eng/ba-english-teacher-education-7-12-certification-track,BA in English - Secondary Teacher Education,2012-12-02,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Catalog Degree,/eng/certificate-public-and-professional-writing,Certificate in Public and Professional Writing,2015-03-25,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Catalog Degree,/eng/minor-public-and-professional-writing,Minor in Public and Professional Writing,2015-03-25,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Catalog Page,/eng/english-course-descriptions,English Course Descriptions,2012-12-02,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Catalog Degree,/eng/minor-writing,Minor in Creative Writing,2012-12-02,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Catalog Degree,/eng/minor-english,Minor in English,2012-12-02,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Catalog Degree,/eng/ba-english,BA in English,2012-12-02,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Catalog Page,/eng/english-overview,English Overview,2012-12-02,2020-06-08
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/suzanne-nadeau,Suzanne Nadeau,2019-08-14,2020-05-14
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/fall-2020-course-guide-0,Fall 2020 Course Guide,2020-04-04,2020-05-13
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/2020-scholarship-winners,2020 Scholarship Winners,2020-04-24,2020-04-24
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/katherine-peters,Katherine Peters,2019-09-17,2020-03-26
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/important-notice-0,Important Notice,2020-03-18,2020-03-18
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/mike-bendzela,Mike Bendzela,2011-05-23,2020-01-29
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/lisa-walker,Lisa Walker,2011-08-12,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/shelton-waldrep,"Shelton Waldrep, Chair",2011-06-21,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/justin-tussing,Justin Tussing,2011-06-30,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/rick-swartz,Rick Swartz,2011-06-30,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/gerald-peters,Gerald Peters,2011-06-24,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/jessica-ouellette,Jessica Ouellette,2016-09-12,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/john-muthyala,John Muthyala,2011-05-16,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/jane-kuenz,Jane Kuenz,2011-06-24,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/carrie-kancilia,Carrie Kancilia,2019-09-11,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/ben-bertram,Benjamin Bertram,2011-05-24,2020-01-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/judson-merrill,Judson Merrill,2018-02-16,2020-01-17
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/marni-berger,Marni Berger,2019-11-19,2019-11-19
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/spring-2020-course-guide-0,Spring 2020 Course Guide,2019-11-04,2019-11-05
"Academic Departments, Schools and Colleges","English, Department of",Event,/eng/elsie-de-wolfes-queer-animacies-marie-antoinette-and-modernist-sapphic-interior,Elsie de Wolfe's Queer Animacies: Marie-Antoinette and the Modernist Sapphic Interior,2019-11-04,2019-11-05
"Academic Departments, Schools and Colleges","English, Department of",Event,/eng/studying-slavery-north-investigation,Studying Slavery in the North: An Investigation,2019-10-01,2019-10-03
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/nicholas-wise,Nicholas Wise,2019-10-02,2019-10-02
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/elizabeth-dodge,Elizabeth Dodge,2011-06-08,2019-10-01
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/lorrayne-carroll,Lorrayne Carroll,2011-05-16,2019-09-23
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/eve-raimon,Eve Raimon,2011-11-03,2019-09-19
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/advising,Advising,2011-05-10,2019-09-19
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/laima-sruoginis-0,Laima Sruoginis,2017-12-11,2019-09-19
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/michelle-menting,Michelle Menting,2018-09-17,2019-09-18
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/kevin-kelly,Kevin Kelly,2011-06-24,2019-09-18
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/ted-williams,Ted Williams,2011-08-12,2019-09-17
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/kate-mitchell,Kate Mitchell,2011-06-24,2019-09-16
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/department-english-publishes-2019-newsletter,Department of English publishes 2019 Newsletter,2019-09-05,2019-09-05
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/newsletters,Newsletters,2012-05-17,2019-09-05
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/lorna-hughes,Lorna Hughes,2011-06-24,2019-08-28
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/linda-trombley,Linda Trombley,2011-06-02,2019-08-26
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/lisa-hibl,Lisa Hibl,2018-10-03,2019-08-22
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/lynnette-eckersley-ray,Lynnette Eckersley-Ray,2017-10-03,2019-08-22
"Academic Departments, Schools and Colleges","English, Department of",Overview,/eng/overview,Overview,2011-05-10,2019-08-20
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/sharon-ross,Sharon Ross,2017-12-13,2019-08-16
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/kristin-rieff,Kristin Rieff,2019-08-15,2019-08-15
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/rebecca-redlon,Rebecca Redlon,2018-10-03,2019-08-15
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/john-jack-chebowicz,John (Jack) Chebowicz,2011-06-01,2019-08-15
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/gibson-fay-leblanc,Gibson Fay-LeBlanc,2017-12-11,2019-08-15
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/bud-mcgrath,Bud McGrath,2011-05-25,2019-08-15
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/nick-wilson,Nick Wilson,2019-06-21,2019-08-14
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/margaret-reimer,Margaret Reimer,2011-06-30,2019-08-14
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/nancy-gish,Nancy Gish,2011-05-23,2019-08-01
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/michele-cheung,Michele Cheung,2011-05-24,2019-07-31
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/scholarships,Scholarships,2019-07-08,2019-07-12
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/2018-scholarship-winners-0,2018 Scholarship Winners,2019-07-08,2019-07-12
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/2019-scholarship-winners-0,2019 Scholarship Winners,2019-07-10,2019-07-10
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/2017-scholarship-winners-0,2017 Scholarship Winners,2019-07-08,2019-07-09
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/2016-scholarship-winners-0,2016 Scholarship Winners,2019-07-08,2019-07-09
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/2019-scholarship-winners,2019 Scholarship Winners,2019-07-08,2019-07-09
"Academic Departments, Schools and Colleges","English, Department of",Office Hours,/eng/office-hours,Office Hours,2011-05-10,2019-07-03
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/professor-john-muthyala-and-learning-designer-jennifer-keplinger-attend-neh-digital-humanities,Professor John Muthyala and Learning Designer Jennifer Keplinger attend the NEH Institute in the Digital Humanities,2019-04-21,2019-04-22
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/fall-2019-course-guide,Fall 2019 Course Guide,2019-03-21,2019-03-21
"Academic Departments, Schools and Colleges","English, Department of",Faculty,/eng/kathleen-ashley,Kathleen Ashley,2011-05-24,2018-12-14
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/digital-humanities-approaches-english-studies,Digital Humanities Approaches to English Studies,2018-11-09,2018-12-05
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/english-major-autumn-wentworth-studying-abroad,English Major Autumn Wentworth on Studying Abroad,2018-11-25,2018-12-03
"Academic Departments, Schools and Colleges","English, Department of",Webform,/eng/contact-us,Contact Us,2011-05-10,2018-10-23
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/college-writing,College Writing,2011-05-16,2018-09-20
"Academic Departments, Schools and Colleges","English, Department of",Staff,/eng/pam-lariviere,Pam LaRiviere,2011-05-16,2018-07-13
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/independent-study,Independent Study,2011-06-20,2018-05-23
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/21st-century-literacies-multimodality-and-writing-across-curriculum,21st Century Literacies: Multimodality and Writing Across the Curriculum,2018-03-15,2018-03-22
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/professor-tussing-wins-book-award-fiction,Professor Tussing wins the Book Award for Fiction,2017-08-14,2017-08-14
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/fall-2016-course-offerings,Fall 2016 Course Offerings,2016-04-19,2016-08-22
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/location-and-hours,Location and Hours,2011-05-10,2016-06-24
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/summer-2016-course-offerings,Summer 2016 Course Offerings,2016-04-19,2016-04-19
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/spring-2016-course-offerings,Spring 2016 Course Offerings,2015-11-30,2015-12-21
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/professor-nancy-gish-writes-article-portland-press-herald,Professor Nancy Gish writes article for Portland Press Herald,2014-06-05,2015-09-22
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/grading-criteria,Grading Criteria,2011-06-07,2014-06-25
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/professor-gerald-peters-publishes-book,Professor Gerald Peters publishes book,2014-06-06,2014-06-06
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/betsy-sholl-published-book-poems,Betsy Sholl published book of poems,2014-06-05,2014-06-05
"Academic Departments, Schools and Colleges","English, Department of",News Item,/eng/“-little-white-rose-scotland”-usm-professor-honored-work-scottish-literature,“The Little White Rose of Scotland”: USM Professor Honored for Work in Scottish Literature,2014-06-05,2014-06-05
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/what-my-instructor-looking-my-writing,What is my instructor looking for in my writing?,2011-06-08,2011-08-10
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/former-college-writing-students-give-advice,Former College Writing Students Give Advice,2011-06-08,2011-07-08
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/what-expect-english-100c-college-writing,WHAT TO EXPECT FROM COLLEGE WRITING,2011-06-07,2011-07-08
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/how-do-i,How do I...,2011-06-20,2011-06-21
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/radboud-universiteit,RADBOUD UNIVERSITEIT,2011-06-20,2011-06-20
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/guidelines-internship-professional-writing,Guidelines for Internship in Professional Writing,2011-06-09,2011-06-09
"Academic Departments, Schools and Colleges","English, Department of",Page,/eng/guidelines-final-report,Guidelines for Final Report,2011-06-09,2011-06-09
