"","pageTitle","pagePath","pageviews"
"1","WHAT TO EXPECT FROM COLLEGE WRITING | Department of English | University of Southern Maine","/eng/what-expect-english-100c-college-writing",3399
"2","People | Department of English | University of Southern Maine","/eng/people",3389
"3","BA in English | Department of English | University of Southern Maine","/eng/ba-english",3077
"4","English Course Descriptions | Department of English | University of Southern Maine","/eng/english-course-descriptions",2786
"5","BA in English - Elementary Teacher Education | Department of English | University of Southern Maine","/eng/ba-english-teacher-education-k-8-certification-track",1520
"6","BA in English - Secondary Teacher Education | Department of English | University of Southern Maine","/eng/ba-english-teacher-education-7-12-certification-track",1110
"7","Degrees & Certificates | Department of English | University of Southern Maine","/eng/degrees",909
"8","Shelton Waldrep, Chair | Department of English | University of Southern Maine","/eng/shelton-waldrep",893
"9","Jessica Ouellette | Department of English | University of Southern Maine","/eng/jessica-ouellette",806
"10","Certificate in Public and Professional Writing | Department of English | University of Southern Maine","/eng/certificate-public-and-professional-writing",779
"11","Minor in Creative Writing | Department of English | University of Southern Maine","/eng/minor-writing",714
"12","Grading Criteria | Department of English | University of Southern Maine","/eng/grading-criteria",694
"13","Former College Writing Students Give Advice | Department of English | University of Southern Maine","/eng/former-college-writing-students-give-advice",673
"14","Faculty | Department of English | University of Southern Maine","/eng/faculty",650
"15","Jane Kuenz | Department of English | University of Southern Maine","/eng/jane-kuenz",468
"16","Minor in English | Department of English | University of Southern Maine","/eng/minor-english",447
"17","Overview | Department of English | University of Southern Maine","/eng/overview",436
"18","Lisa Walker | Department of English | University of Southern Maine","/eng/lisa-walker",425
"19","Benjamin Bertram | Department of English | University of Southern Maine","/eng/ben-bertram",420
"20","Eve Raimon | Department of English | University of Southern Maine","/eng/eve-raimon",416
"21","Minor in Public and Professional Writing | Department of English | University of Southern Maine","/eng/minor-public-and-professional-writing",414
"22","Justin Tussing | Department of English | University of Southern Maine","/eng/justin-tussing",412
"23","Lorrayne Carroll | Department of English | University of Southern Maine","/eng/lorrayne-carroll",387
"24","College Writing | Department of English | University of Southern Maine","/eng/college-writing",359
"25","John Muthyala | Department of English | University of Southern Maine","/eng/john-muthyala",348
"26","Kathleen Ashley | Department of English | University of Southern Maine","/eng/kathleen-ashley",347
"27","Carrie Kancilia | Department of English | University of Southern Maine","/eng/carrie-kancilia",292
"28","Judson Merrill | Department of English | University of Southern Maine","/eng/judson-merrill",277
"29","Gerald Peters | Department of English | University of Southern Maine","/eng/gerald-peters",273
"30","Nancy Gish | Department of English | University of Southern Maine","/eng/nancy-gish",272
"31","Rick Swartz | Department of English | University of Southern Maine","/eng/rick-swartz",268
"32","Ted Williams | Department of English | University of Southern Maine","/eng/ted-williams",238
"33","Minor in Writing | Department of English | University of Southern Maine","/eng/minor-writing",214
"34","Michelle Menting | Department of English | University of Southern Maine","/eng/michelle-menting",210
"35","Bud McGrath | Department of English | University of Southern Maine","/eng/bud-mcgrath",194
"36","Laima Sruoginis | Department of English | University of Southern Maine","/eng/laima-sruoginis-0",194
"37","Scholarships | Department of English | University of Southern Maine","/eng/scholarships",188
"38","Michele Cheung | Department of English | University of Southern Maine","/eng/michele-cheung",186
"39","Kate Mitchell | Department of English | University of Southern Maine","/eng/kate-mitchell",185
"40","Contact Us | Department of English | University of Southern Maine","/eng/contact-us",177
"41","Lorna Hughes | Department of English | University of Southern Maine","/eng/lorna-hughes",177
"42","Rebecca Redlon | Department of English | University of Southern Maine","/eng/rebecca-redlon",175
"43","Pam LaRiviere | Department of English | University of Southern Maine","/eng/pam-lariviere",174
"44","Mike Bendzela | Department of English | University of Southern Maine","/eng/mike-bendzela",170
"45","Independent Study | Department of English | University of Southern Maine","/eng/independent-study",164
"46","Advising | Department of English | University of Southern Maine","/eng/advising",163
"47","John (Jack) Chebowicz | Department of English | University of Southern Maine","/eng/john-jack-chebowicz",158
"48","Office Hours | Department of English | University of Southern Maine","/eng/office-hours",151
"49","Suzanne Nadeau | Department of English | University of Southern Maine","/eng/suzanne-nadeau",145
"50","Gibson Fay-LeBlanc | Department of English | University of Southern Maine","/eng/gibson-fay-leblanc",144
"51","Studying Slavery in the North: An Investigation | Department of English | University of Southern Maine","/eng/studying-slavery-north-investigation",140
"52","Margaret Reimer | Department of English | University of Southern Maine","/eng/margaret-reimer",138
"53","Lynnette Eckersley-Ray | Department of English | University of Southern Maine","/eng/lynnette-eckersley-ray",136
"54","Guidelines for Internship in Professional Writing | Department of English | University of Southern Maine","/eng/guidelines-internship-professional-writing",131
"55","Kevin Kelly | Department of English | University of Southern Maine","/eng/kevin-kelly",131
"56","Sharon Ross | Department of English | University of Southern Maine","/eng/sharon-ross",130
"57","George Lyons | Department of English | University of Southern Maine","/eng/george-lyons",129
"58","Spring 2020 Course Guide | Department of English | University of Southern Maine","/eng/spring-2020-course-guide-0",129
"59","Lisa Hibl | Department of English | University of Southern Maine","/eng/lisa-hibl",128
"60","Katherine Peters | Department of English | University of Southern Maine","/eng/katherine-peters",127
"61","Linda Trombley | Department of English | University of Southern Maine","/eng/linda-trombley",116
"62","Kristin Rieff | Department of English | University of Southern Maine","/eng/kristin-rieff",115
"63","Nicholas Wise | Department of English | University of Southern Maine","/eng/nicholas-wise",113
"64","Elizabeth Dodge | Department of English | University of Southern Maine","/eng/elizabeth-dodge",110
"65","Marni Berger | Department of English | University of Southern Maine","/eng/marni-berger",101
"66","Newsletters | Department of English | University of Southern Maine","/eng/newsletters",101
"67","The Aesthetic Afterlives of Slavery: Racial Surveillance and American Visual Culture | Department of English | University of Southern Maine","/eng/aesthetic-afterlives-slavery",93
"68","Stephanie Soileau | Department of English | University of Southern Maine","/eng/stephanie-soileau",83
"69","Nick Wilson | Department of English | University of Southern Maine","/eng/nick-wilson",80
"70","Department of English | University of Southern Maine","/eng/",79
"71","Stefanie Bourque | Department of English | University of Southern Maine","/eng/stefanie-bourque",76
"72","Gibson Fay-Leblanc | Department of English | University of Southern Maine","/eng/gibson-fay-leblanc",61
"73","RADBOUD UNIVERSITEIT | Department of English | University of Southern Maine","/eng/radboud-universiteit",60
"74","Elsie de Wolfe's Queer Animacies: Marie-Antoinette and the Modernist Sapphic Interior | Department of English | University of Southern Maine","/eng/elsie-de-wolfes-queer-animacies-marie-antoinette-and-modernist-sapphic-interior",59
"75","Dianne Benedict | Department of English | University of Southern Maine","/eng/dianne-benedict",49
"76","Professor John Muthyala and Learning Designer Jennifer Keplinger attend the NEH Institute in the Digital Humanities | Department of English | University of Southern Maine","/eng/professor-john-muthyala-and-learning-designer-jennifer-keplinger-attend-neh-digital-humanities",47
"77","Suzanne Nadeau | Department of English | University of Southern Maine","/eng/suzanne-philbrick",44
"78","21st Century Literacies: Multimodality and Writing Across the Curriculum | Department of English | University of Southern Maine","/eng/21st-century-literacies-multimodality-and-writing-across-curriculum",43
"79","2019 Scholarship Winners | Department of English | University of Southern Maine","/eng/2019-scholarship-winners",40
"80","Fall 2019 Course Guide | Department of English | University of Southern Maine","/eng/fall-2019-course-guide",38
"81","Digital Humanities Approaches to English Studies | Department of English | University of Southern Maine","/eng/digital-humanities-approaches-english-studies",33
"82","2020 Scholarship Winners | Department of English | University of Southern Maine","/eng/2020-scholarship-winners",32
"83","Department of English publishes 2019 Newsletter | Department of English | University of Southern Maine","/eng/department-english-publishes-2019-newsletter",31
"84","News | Department of English | University of Southern Maine","/eng/news",31
"85","2019 Scholarship Winners | Department of English | University of Southern Maine","/eng/2019-scholarship-winners-0",30
"86","English Course Descriptions | Department of English | University of Southern Maine","/eng/english-course-descriptions?fbclid=IwAR36JLP3NBltwO-Fn26rB3YcnK7MHetmcytE1o1KxK3W77ulxGrAzQhgMR0",29
"87","What is my instructor looking for in my writing? | Department of English | University of Southern Maine","/eng/what-my-instructor-looking-my-writing",28
"88","Diane Fisher | Department of English | University of Southern Maine","/eng/diane-fisher",23
"89","How do I... | Department of English | University of Southern Maine","/eng/how-do-i",23
"90","English Major Autumn Wentworth on Studying Abroad | Department of English | University of Southern Maine","/eng/english-major-autumn-wentworth-studying-abroad",21
"91","Access denied | University of Southern Maine","/eng/ba-english-teacher-education-k-8-certification-track",19
"92","2018 Scholarship Winners | Department of English | University of Southern Maine","/eng/2018-scholarship-winners",16
"93","Collier Cobb | Department of English | University of Southern Maine","/eng/collier-cobb",13
"94","Page Not Found | University of Southern Maine","/eng/renaissanceart.htm",13
"95","Access denied | University of Southern Maine","/eng/jane-martin",12
"96","2017 Scholarship Winners | Department of English | University of Southern Maine","/eng/2017-scholarship-winners",11
"97","Access denied | University of Southern Maine","/eng/lisa-giles",11
"98","Important Notice | Department of English | University of Southern Maine","/eng/important-notice-0",10
"99","Page Not Found | University of Southern Maine","/eng/alex-irvine",10
"100","(not set)","/eng/english-course-descriptions",9
"101","2018 Scholarship Winners | Department of English | University of Southern Maine","/eng/2018-scholarship-winners-0",8
"102","Fall 2016 Course Offerings | Department of English | University of Southern Maine","/eng/fall-2016-course-offerings",8
"103","(not set)","/eng/what-expect-english-100c-college-writing",7
"104","Access denied | University of Southern Maine","/eng/george-lyons",7
"105","News | Department of English | University of Southern Maine","/eng/news?page=1",7
"106","Social and Professional Gathering for English Majors | Department of English | University of Southern Maine","/eng/social-and-professional-gathering-english-majors",6
"107","Access denied | University of Southern Maine","/eng/collier-cobb",5
"108","Page Not Found | University of Southern Maine","/eng/zwxzawutzg",5
"109","Professor Tussing wins the Book Award for Fiction | Department of English | University of Southern Maine","/eng/professor-tussing-wins-book-award-fiction",5
"110","Summer 2016 Course Offerings | Department of English | University of Southern Maine","/eng/summer-2016-course-offerings",5
"111","(not set)","/eng/john-muthyala",4
"112","“The Little White Rose of Scotland”: USM Professor Honored for Work in Scottish Literature | Department of English | University of Southern Maine","/eng/“-little-white-rose-scotland”-usm-professor-honored-work-scottish-literature",4
"113","2016 Scholarship Winners | Department of English | University of Southern Maine","/eng/2016-scholarship-winners-0",4
"114","2017 Scholarship Winners | Department of English | University of Southern Maine","/eng/2017-scholarship-winners-0",4
"115","Access denied | University of Southern Maine","/eng/2017-scholarship-winners",4
"116","Access denied | University of Southern Maine","/eng/2018-scholarship-winners",4
"117","Access denied | University of Southern Maine","/eng/fall-2020-course-guide",4
"118","Access denied | University of Southern Maine","/eng/stephanie-soileau",4
"119","Katherine Pepers | Department of English | University of Southern Maine","/eng/katherine-pepers",4
