"","pageTitle","pageviews"
"1","University of Southern Maine",902464
"2","Majors, Minors, & Programs | University of Southern Maine",407168
"3","Course Search | University of Southern Maine",374107
"4","MyUSM Campus Portal | Computing Services | University of Southern Maine",342702
"5","Search Results | University of Southern Maine",309065
"6","USM Libraries | University of Southern Maine",95366
"7","Costs & Financial Aid | University of Southern Maine",92608
"8","Apply to USM | University of Southern Maine",89264
"9","Tuition and Fees | Student Financial Services | University of Southern Maine",82597
"10","Job Opportunities | Campus Human Resources Services | University of Southern Maine",65772
"11","Department of Athletics | University of Southern Maine",65418
"12","Graduate | University of Southern Maine",62895
"13","Admissions | University of Southern Maine",61016
"14","Undergraduate | University of Southern Maine",57988
"15","University of Southern Maine Photo Library",46411
"16","Page Not Found | University of Southern Maine",45144
"17","Scholarships | University of Southern Maine",44724
"18","Undergraduate Degree Programs | University of Southern Maine",44443
"19","Academic Calendar | Office of Registration & Scheduling Services | University of Southern Maine",42505
"20","Students | University of Southern Maine",41548
"21","Visit USM | University of Southern Maine",41429
"22","Transfer to USM | University of Southern Maine",39964
"23","Events | Planetarium | University of Southern Maine",38761
"24","""Does the Moon have gravity?"" | Planetarium | University of Southern Maine",38174
"25","Faculty and Staff | University of Southern Maine",37583
"26","GPA Calculator | Advising | University of Southern Maine",36173
"27","Planetarium | University of Southern Maine",35499
"28","Osher Lifelong Learning Institute | University of Southern Maine",33975
"29","University Store | University of Southern Maine",31763
"30","OLLI Courses and Lectures | Osher Lifelong Learning Institute | University of Southern Maine",30529
"31","Graduate Degree Programs | University of Southern Maine",30215
"32","2019/2020 Academic Calendar | Office of Registration & Scheduling Services | University of Southern Maine",27599
"33","New England Regional Student Program | Office of Admissions | University of Southern Maine",25436
"34","Prospective Students | University of Southern Maine",23408
"35","Course Catalogs | University of Southern Maine",22510
"36","BS in Nursing - Accelerated Program | School of Nursing | University of Southern Maine",21938
"37","Contact Us | Student Financial Services | University of Southern Maine",21663
"38","Professional Development | University of Southern Maine",21626
"39","Contact Us | Office of Admissions | University of Southern Maine",21196
"40","Finish Your Degree | University of Southern Maine",20797
"41","Student Financial Services | University of Southern Maine",19671
"42","School of Nursing | University of Southern Maine",19090
"43","Online Programs | University of Southern Maine",18956
"44","2019/2020 Academic Calendar & Final Exam Schedule | Office of Registration & Scheduling Services | University of Southern Maine",18918
"45","Campuses | University of Southern Maine",18908
"46","""Is the Sun getting hotter? If so, why? Will Earth eventually become too hot for life?"" | Planetarium | University of Southern Maine",18746
"47","BS in Nursing - Traditional Program | School of Nursing | University of Southern Maine",17975
"48","MS in Educational Psychology with a Concentration in Applied Behavior Analysis | Educational Psychology | University of Southern Maine",17902
"49","Access denied | University of Southern Maine",17769
"50","Residence Halls | Office of Residential Life | University of Southern Maine",17689
"51","News & Events | University of Southern Maine",17466
"52","Estimated Cost of Attendance for One Year of Full-time Undergraduate Enrollment - 2019-2020 | Student Financial Services | University of Southern Maine",16889
"53","Commencement | University of Southern Maine",16763
"54","Room and Board Rates | Office of Residential Life | University of Southern Maine",16320
"55","Directories | About USM | University of Southern Maine",16293
"56","Coronavirus Community Updates | Office of the President | University of Southern Maine",16066
"57","Faculty | University of Southern Maine",15779
"58","USM Bookstore | University of Southern Maine",15672
"59","If The World Were a Village of 100 | Office of International Programs | University of Southern Maine",15538
"60","Sullivan Recreation and Fitness Complex | University of Southern Maine",15354
"61","Summer 2020 | Office of Registration & Scheduling Services | University of Southern Maine",14943
"62","Weather Delays and Cancellations | USM Public Safety | University of Southern Maine",14919
"63","Calendar of Events | University of Southern Maine",14737
"64","Staff | University of Southern Maine",14281
"65","Online Degree Programs | University of Southern Maine",13653
"66","Checklist for Evaluating Web Resources | USM Libraries | University of Southern Maine",13492
"67","About USM | University of Southern Maine",13418
"68","Events | School of Music | University of Southern Maine",12978
"69","FAQ | Office of Residential Life | University of Southern Maine",12869
"70","Office of Residential Life | University of Southern Maine",12845
"71","People | University of Southern Maine",12758
"72","Portland Campus Maps and Directions | Maps, Parking, and Transportation | University of Southern Maine",12732
"73","Summer 2019 | Office of Registration & Scheduling Services | University of Southern Maine",12309
