"","pageTitle","pageviews"
"1","University of Southern Maine",1124644
"2","Search Results | University of Southern Maine",456748
"3","Majors, Minors, & Programs | University of Southern Maine",430712
"4","Course Search | University of Southern Maine",399531
"5","MyUSM Campus Portal | Computing Services | University of Southern Maine",371501
"6","USM Libraries | University of Southern Maine",148458
"7","Costs & Financial Aid | University of Southern Maine",96285
"8","Apply to USM | University of Southern Maine",94150
"9","Tuition and Fees | Student Financial Services | University of Southern Maine",86516
"10","University of Southern Maine Photo Library",81284
"11","Job Opportunities | Campus Human Resources Services | University of Southern Maine",75952
"12","Department of Athletics | University of Southern Maine",67359
"13","Admissions | University of Southern Maine",64711
"14","Graduate | University of Southern Maine",64339
"15","Undergraduate | University of Southern Maine",59708
"16","Page Not Found | University of Southern Maine",50856
"17","Scholarships | University of Southern Maine",49614
"18","Faculty and Staff | University of Southern Maine",47841
"19","Academic Calendar | Office of Registration & Scheduling Services | University of Southern Maine",46929
"20","Undergraduate Degree Programs | University of Southern Maine",45168
"21","Students | University of Southern Maine",44304
"22","Visit USM | University of Southern Maine",43170
"23","Transfer to USM | University of Southern Maine",40159
"24","Events | Planetarium | University of Southern Maine",39727
"25","""Does the Moon have gravity?"" | Planetarium | University of Southern Maine",38231
"26","Osher Lifelong Learning Institute | University of Southern Maine",37694
"27","GPA Calculator | Advising | University of Southern Maine",37370
"28","Planetarium | University of Southern Maine",36995
"29","University Store | University of Southern Maine",35264
"30","OLLI Courses and Lectures | Osher Lifelong Learning Institute | University of Southern Maine",31089
"31","Graduate Degree Programs | University of Southern Maine",30527
"32","2019/2020 Academic Calendar | Office of Registration & Scheduling Services | University of Southern Maine",29331
"33","New England Regional Student Program | Office of Admissions | University of Southern Maine",25824
"34","Course Catalogs | University of Southern Maine",25691
"35","Student Financial Services | University of Southern Maine",25143
"36","Contact Us | Student Financial Services | University of Southern Maine",23887
"37","Prospective Students | University of Southern Maine",23840
"38","Professional Development | University of Southern Maine",23554
"39","BS in Nursing - Accelerated Program | School of Nursing | University of Southern Maine",22659
"40","Contact Us | Office of Admissions | University of Southern Maine",22235
"41","Access denied | University of Southern Maine",21429
"42","Finish Your Degree | University of Southern Maine",20883
"43","News & Events | University of Southern Maine",20781
"44","2019/2020 Academic Calendar & Final Exam Schedule | Office of Registration & Scheduling Services | University of Southern Maine",20668
"45","School of Nursing | University of Southern Maine",20488
"46","BS in Nursing - Traditional Program | School of Nursing | University of Southern Maine",19800
